node index 1,node index 2,node index 3,p-value
0,12,23,0.1670002495393005
0,12,32,0.23674930691568466
0,12,52,0.47540345461673017
0,12,62,0.12129101253025878
0,21,23,0.7131397955693954
0,21,32,0.4837472957597656
0,21,43,0.48322813517247065
0,23,32,0.9183608141097017
0,23,43,0.747182460629252
0,23,52,0.5747286157673115
0,23,62,0.42699151893711185
0,32,43,0.6988026866791573
0,32,52,0.45850709607964735
0,32,62,0.6440532993782208
0,43,52,0.0931926577147738
12,23,32,0.06669742340004527
12,23,52,0.19964733284084438
12,23,62,0.6581332403673269
12,32,52,0.580785878053784
12,32,62,0.2358812739489139
14,21,23,0.09325315744118177
14,21,32,0.7289051071437092
14,21,36,0.9339580477740186
21,23,32,0.5177463499834296
21,23,43,0.14790578596341283
21,23,59,0.3393355325735894
21,23,69,0.3897330934977713
21,32,36,0.9870440697492924
21,32,43,0.21887666182544918
21,32,59,0.9483963927288793
21,36,43,0.7401938729342359
21,43,44,0.7198127864272521
21,43,69,0.6870632756450283
21,44,59,0.36001037680569703
21,44,69,0.7961252762270381
21,59,69,0.13322410858941974
14,23,24,0.6282980701873364
14,23,32,0.9918592035472765
23,24,32,0.41658876157755964
23,24,52,0.02501734179104597
23,24,62,0.49667869426279876
23,32,43,0.8337819743591202
23,32,52,0.11423486492095303
23,32,59,0.4497553699971315
23,32,62,0.16309877888933763
23,43,52,0.7553110638257742
23,43,69,0.2965767930668397
23,59,69,0.8050827800307329
14,24,32,0.7266629488496521
14,32,36,0.9903621433851897
24,32,52,0.0015991608127067366
24,32,62,0.732972198268206
32,36,43,0.2587266800850733
32,36,62,0.2106252293227838
32,43,52,0.8769079898815135
14,36,40,0.7662249163788571
14,36,66,0.09348946716338001
36,62,66,0.6663425894902493
43,44,48,0.6052309176973589
43,44,69,0.7842485796665436
7,38,62,0.4750261518291379
38,62,66,0.16300353807516502
2,13,63,0.3735126757173569
2,13,66,0.4520081516583394
2,24,63,0.562805230884851
2,63,66,0.905348820421982
13,63,66,0.6691820997626643
14,24,63,0.76714843385875
14,63,66,0.3451267535804453
3,53,67,0.3118503555835717
38,53,67,0.002743890923194195
37,38,53,0.3118560361546675
37,39,53,0.4675745093986676
37,53,56,0.32478973383886944
38,39,53,0.3118503555835717
39,53,56,0.32478973383886944
44,59,69,0.9626992762784905
4,44,48,0.14895019378247662
37,38,39,0.3118560361546675
37,39,56,0.32478973383886944
